team_id,team,number,position,name,birth_date,age,caps,goals,club,source,data_version
algeria,Algeria,21,DF,Ramy Bensebaini,,31,82,9,Borussia Dortmund,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,22,MF,Ibrahim Maza,,20,17,2,Bayer Leverkusen,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,23,GK,Luca Zidane,,28,7,0,Granada,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,24,MF,Yacine Titraoui,,22,5,0,Charleroi,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,25,FW,Farès Ghedjemis,,23,1,1,Frosinone,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,26,DF,Samir Chergui,,27,5,0,Paris FC,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,1,GK,Juan Musso,,32,4,0,Atlético Madrid,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,2,DF,Marcos Senesi,,29,3,0,Bournemouth,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,3,DF,Nicolás Tagliafico,,33,76,1,Lyon,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,4,DF,Gonzalo Montiel,,29,39,2,River Plate,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,5,MF,Leandro Paredes,,31,77,5,Boca Juniors,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,6,DF,Lisandro Martínez,,28,28,1,Manchester United,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,7,MF,Rodrigo De Paul,,32,87,2,Inter Miami CF,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,8,MF,Valentín Barco,,21,4,2,Strasbourg,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,9,FW,Julián Alvarez,,26,51,14,Atlético Madrid,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,10,FW,Lionel Messi (captain),,38,199,117,Inter Miami CF,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,11,MF,Giovani Lo Celso,,30,67,4,Real Betis,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,12,GK,Gerónimo Rulli,,34,8,0,Marseille,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,13,DF,Cristian Romero,,28,51,3,Tottenham Hotspur,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,14,MF,Exequiel Palacios,,27,40,0,Bayer Leverkusen,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,15,MF,Nicolás González,,28,51,6,Atlético Madrid,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,16,FW,Thiago Almada,,25,16,5,Atlético Madrid,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,17,FW,Giuliano Simeone,,23,13,2,Atlético Madrid,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,18,FW,Nico Paz,,21,9,1,Como,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,19,DF,Nicolás Otamendi,,38,132,8,Benfica,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,20,MF,Alexis Mac Allister,,27,46,6,Liverpool,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,21,FW,José Manuel López,,25,5,0,Palmeiras,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,22,FW,Lautaro Martínez,,28,77,37,Inter Milan,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,23,GK,Emiliano Martínez,,33,59,0,Aston Villa,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,24,MF,Enzo Fernández,,25,42,6,Chelsea,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,25,DF,Facundo Medina,,27,9,0,Marseille,wikipedia_2026_squads,wc26-20260702T012119z
argentina,Argentina,26,DF,Nahuel Molina,,28,58,1,Atlético Madrid,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,1,GK,Mathew Ryan (captain),,34,104,0,Levante,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,2,DF,Miloš Degenek,,32,57,1,APOEL,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,3,DF,Alessandro Circati,,22,13,1,Parma,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,4,DF,Jacob Italiano,,24,5,0,Grazer AK,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,5,DF,Jordan Bos,,23,27,4,Feyenoord,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,6,DF,Jason Geria,,33,14,0,Albirex Niigata,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,7,FW,Mathew Leckie,,35,80,14,Melbourne City,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,8,MF,Connor Metcalfe,,26,36,1,FC St. Pauli,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,9,FW,Mohamed Touré,,22,10,2,Norwich City,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,10,FW,Ajdin Hrustic,,29,37,4,Heracles Almelo,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,11,FW,Awer Mabil,,30,38,10,Castellón,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,12,GK,Paul Izzo,,31,4,0,Randers,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,13,MF,Aiden O'Neill,,27,31,0,New York City FC,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,14,MF,Cammy Devlin,,28,5,0,Heart of Midlothian,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,15,DF,Kai Trewin,,25,6,0,New York City FC,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,16,DF,Aziz Behich,,35,84,3,Melbourne City,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,17,FW,Nestory Irankunda,,20,15,5,Watford,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,18,GK,Patrick Beach,,22,2,0,Melbourne City,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,19,DF,Harry Souttar,,27,38,11,Leicester City,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,20,FW,Cristian Volpato,,22,1,0,Sassuolo,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,21,DF,Cameron Burgess,,30,27,0,Swansea City,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,22,MF,Jackson Irvine,,33,82,14,FC St. Pauli,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,23,FW,Nishan Velupillay,,25,7,3,Melbourne Victory,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,24,MF,Paul Okon-Engstler,,21,6,0,Sydney FC,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,25,DF,Lucas Herrington,,18,4,0,Colorado Rapids,wikipedia_2026_squads,wc26-20260702T012119z
australia,Australia,26,FW,Tete Yengi,,25,1,1,Machida Zelvia,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,1,GK,Alexander Schlager,,30,26,0,Red Bull Salzburg,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,2,DF,David Affengruber,,25,1,0,Elche,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,3,DF,Kevin Danso,,27,32,0,Tottenham Hotspur,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,4,MF,Xaver Schlager,,28,51,4,RB Leipzig,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,5,DF,Stefan Posch,,29,52,5,Mainz 05,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,6,MF,Nicolas Seiwald,,25,47,1,RB Leipzig,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,7,FW,Marko Arnautović,,37,133,47,Red Star Belgrade,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,8,DF,David Alaba (captain),,33,113,15,Real Madrid,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,9,MF,Marcel Sabitzer,,32,98,26,Borussia Dortmund,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,10,MF,Florian Grillitsch,,30,58,1,Braga,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,11,FW,Michael Gregoritsch,,32,75,24,FC Augsburg,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,12,GK,Florian Wiegele,,25,1,0,Viktoria Plzeň,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,13,GK,Patrick Pentz,,29,18,0,Brøndby,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,14,FW,Saša Kalajdžić,,28,22,4,LASK,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,15,DF,Philipp Lienhart,,29,41,3,SC Freiburg,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,16,DF,Phillipp Mwene,,32,30,0,Mainz 05,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,17,MF,Carney Chukwuemeka,,22,3,1,Borussia Dortmund,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,18,MF,Romano Schmid,,26,34,3,Werder Bremen,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,19,MF,Dejan Ljubičić,,28,9,1,Schalke 04,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,20,MF,Konrad Laimer,,29,57,7,Bayern Munich,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,21,FW,Patrick Wimmer,,25,30,1,VfL Wolfsburg,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,22,MF,Alexander Prass,,25,19,0,TSG Hoffenheim,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,23,DF,Marco Friedl,,28,11,0,Werder Bremen,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,24,MF,Paul Wanner,,20,3,0,PSV Eindhoven,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,25,DF,Michael Svoboda,,27,4,0,Venezia,wikipedia_2026_squads,wc26-20260702T012119z
austria,Austria,26,MF,Alessandro Schöpf,,32,35,6,Wolfsberger AC,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,1,GK,Thibaut Courtois,,34,109,0,Real Madrid,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,2,DF,Zeno Debast,,22,26,1,Sporting CP,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,3,DF,Arthur Theate,,26,33,1,Eintracht Frankfurt,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,4,DF,Brandon Mechele,,33,9,1,Club Brugge,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,5,DF,Maxim De Cuyper,,25,19,4,Brighton & Hove Albion,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,6,MF,Axel Witsel,,37,138,12,Girona,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,7,MF,Kevin De Bruyne,,34,119,37,Napoli,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,8,MF,Youri Tielemans (captain),,29,85,13,Aston Villa,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,9,FW,Romelu Lukaku,,33,126,90,Napoli,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,10,FW,Leandro Trossard,,31,51,12,Arsenal,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,11,FW,Jérémy Doku,,24,43,7,Manchester City,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,12,GK,Senne Lammens,,23,2,0,Manchester United,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,13,GK,Mike Penders,,20,0,0,Strasbourg,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,14,FW,Dodi Lukébakio,,28,30,6,Benfica,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,15,DF,Thomas Meunier,,34,80,10,Lille,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,16,DF,Koni De Winter,,23,8,0,Milan,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,17,FW,Charles De Ketelaere,,25,30,6,Atalanta,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,18,DF,Joaquin Seys,,21,5,0,Club Brugge,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,19,MF,Diego Moreira,,21,3,0,Strasbourg,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,20,MF,Hans Vanaken,,33,34,7,Club Brugge,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,21,DF,Timothy Castagne,,30,63,2,Fulham,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,22,MF,Alexis Saelemaekers,,26,24,2,Milan,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,23,MF,Nicolas Raskin,,25,13,2,Rangers,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,24,MF,Amadou Onana,,24,29,1,Aston Villa,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,25,DF,Nathan Ngoy,,23,4,0,Lille,wikipedia_2026_squads,wc26-20260702T012119z
belgium,Belgium,26,FW,Matias Fernandez-Pardo,,21,2,0,Lille,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,1,GK,Nikola Vasilj,,30,26,0,FC St. Pauli,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,2,DF,Nihad Mujakić,,28,12,1,Gaziantep,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,3,DF,Dennis Hadžikadunić,,27,32,0,Sampdoria,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,4,DF,Tarik Muharemović,,23,14,1,Sassuolo,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,5,DF,Sead Kolašinac,,32,65,0,Atalanta,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,6,MF,Benjamin Tahirović,,23,28,2,Brøndby,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,7,DF,Amar Dedić,,23,28,1,Benfica,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,8,MF,Armin Gigović,,24,20,1,Young Boys,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,9,FW,Samed Baždar,,22,13,1,Jagiellonia Białystok,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,10,FW,Ermedin Demirović,,28,40,4,VfB Stuttgart,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,11,FW,Edin Džeko (captain),,40,148,73,Schalke 04,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,12,GK,Mladen Jurkas,,18,0,0,Borac Banja Luka,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,13,MF,Ivan Bašić,,24,17,0,Astana,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,14,MF,Ivan Šunjić,,29,11,0,Pafos,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,15,MF,Amar Memić,,25,13,1,Viktoria Plzeň,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,16,MF,Amir Hadžiahmetović,,29,36,0,Hull City,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,17,MF,Dženis Burnić,,28,20,0,Karlsruher SC,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,18,DF,Nikola Katić,,29,17,2,Schalke 04,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,19,FW,Kerim Alajbegović,,18,10,1,Red Bull Salzburg,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,20,FW,Esmir Bajraktarević,,21,16,1,PSV Eindhoven,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,21,DF,Stjepan Radeljić,,28,5,0,Rijeka,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,22,GK,Martin Zlomislić,,27,3,0,Rijeka,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,23,FW,Haris Tabaković,,31,10,4,Borussia Mönchengladbach,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,24,DF,Arjan Malić,,20,8,0,Sturm Graz,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,25,FW,Jovo Lukić,,27,3,0,Universitatea Cluj,wikipedia_2026_squads,wc26-20260702T012119z
bosnia-and-herzegovina,Bosnia & Herzegovina,26,MF,Ermin Mahmić,,21,2,0,Slovan Liberec,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,1,GK,Alisson,,33,78,0,Liverpool,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,2,MF,Éderson Silva,,26,3,0,Atalanta,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,3,DF,Gabriel Magalhães,,28,17,1,Arsenal,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,4,DF,Marquinhos (captain),,32,105,7,Paris Saint-Germain,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,5,MF,Casemiro,,34,86,9,Manchester United,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,6,DF,Alex Sandro,,35,45,2,Flamengo,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,7,FW,Vinícius Júnior,,25,49,9,Real Madrid,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,8,MF,Bruno Guimarães,,28,43,3,Newcastle United,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,9,FW,Matheus Cunha,,27,23,1,Manchester United,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,10,FW,Neymar,,34,128,79,Santos,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,11,FW,Raphinha,,29,39,11,Barcelona,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,12,GK,Weverton,,38,11,0,Grêmio,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,13,DF,Danilo Luiz,,34,70,1,Flamengo,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,14,DF,Bremer,,29,8,1,Juventus,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,15,DF,Léo Pereira,,30,4,0,Flamengo,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,16,DF,Douglas Santos,,32,7,0,Zenit Saint Petersburg,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,17,MF,Fabinho,,32,33,0,Al-Ittihad,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,18,MF,Danilo Santos,,25,4,2,Botafogo,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,19,FW,Endrick,,19,17,4,Lyon,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,20,MF,Lucas Paquetá,,28,63,13,Flamengo,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,21,FW,Luiz Henrique,,25,15,2,Zenit Saint Petersburg,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,22,FW,Gabriel Martinelli,,24,23,4,Arsenal,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,23,GK,Ederson Moraes,,32,32,0,Fenerbahçe,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,24,DF,Roger Ibañez,,27,7,0,Al-Ahli,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,25,FW,Igor Thiago,,24,4,2,Brentford,wikipedia_2026_squads,wc26-20260702T012119z
brazil,Brazil,26,FW,Rayan,,19,2,1,Bournemouth,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,1,GK,Dayne St. Clair,,29,20,0,Inter Miami CF,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,2,DF,Alistair Johnston,,27,58,1,Celtic,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,3,DF,Alfie Jones,,28,2,0,Middlesbrough,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,4,DF,Luc de Fougerolles,,20,13,0,Dender EH,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,5,DF,Joel Waterman,,30,17,0,Chicago Fire FC,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,6,MF,Mathieu Choinière,,27,23,0,Los Angeles FC,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,7,MF,Stephen Eustáquio,,29,56,4,Los Angeles FC,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,8,MF,Ismaël Koné,,23,40,4,Sassuolo,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,9,FW,Cyle Larin,,31,90,30,Southampton,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,10,FW,Jonathan David,,26,77,39,Juventus,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,11,MF,Liam Millar,,26,41,1,Hull City,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,12,FW,Tani Oluwaseyi,,26,24,2,Villarreal,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,13,DF,Derek Cornelius,,28,44,1,Rangers,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,14,MF,Jacob Shaffelburg,,26,31,6,Los Angeles FC,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,15,DF,Moïse Bombito,,26,20,0,Nice,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,16,GK,Maxime Crépeau,,32,32,0,Orlando City SC,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,17,FW,Tajon Buchanan,,27,60,8,Villarreal,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,18,GK,Owen Goodman,,22,0,0,Barnsley,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,19,DF,Alphonso Davies (captain),,25,58,15,Bayern Munich,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,20,FW,Ali Ahmed,,25,24,1,Norwich City,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,21,MF,Jonathan Osorio,,33,90,10,Toronto FC,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,22,DF,Richie Laryea,,31,75,1,Toronto FC,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,23,DF,Niko Sigur,,22,19,2,Hajduk Split,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,24,FW,Promise David,,24,10,3,Union Saint-Gilloise,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,25,MF,Nathan Saliba,,22,15,2,Anderlecht,wikipedia_2026_squads,wc26-20260702T012119z
canada,Canada,26,FW,Jayden Nelson,,23,14,3,Austin FC,wikipedia_2026_squads,wc26-20260702T012119z
cape-verde,Cape Verde,1,GK,Vozinha,,40,90,0,Chaves,wikipedia_2026_squads,wc26-20260702T012119z
cape-verde,Cape Verde,2,DF,Stopira,,38,61,4,Torreense,wikipedia_2026_squads,wc26-20260702T012119z
cape-verde,Cape Verde,3,DF,Diney,,31,32,2,Al Bataeh,wikipedia_2026_squads,wc26-20260702T012119z
cape-verde,Cape Verde,4,DF,Pico,,33,45,0,Shamrock Rovers,wikipedia_2026_squads,wc26-20260702T012119z
cape-verde,Cape Verde,5,DF,Logan Costa,,25,28,0,Villarreal,wikipedia_2026_squads,wc26-20260702T012119z
cape-verde,Cape Verde,6,MF,Kevin Pina,,29,31,3,Krasnodar,wikipedia_2026_squads,wc26-20260702T012119z
cape-verde,Cape Verde,7,MF,Jovane Cabral,,27,29,3,Estrela Amadora,wikipedia_2026_squads,wc26-20260702T012119z
cape-verde,Cape Verde,8,MF,João Paulo,,28,41,1,FCSB,wikipedia_2026_squads,wc26-20260702T012119z
cape-verde,Cape Verde,9,FW,Gilson Benchimol,,24,21,6,Akron Tolyatti,wikipedia_2026_squads,wc26-20260702T012119z
cape-verde,Cape Verde,10,MF,Jamiro Monteiro,,32,55,5,PEC Zwolle,wikipedia_2026_squads,wc26-20260702T012119z
cape-verde,Cape Verde,11,MF,Garry Rodrigues,,35,61,10,Apollon Limassol,wikipedia_2026_squads,wc26-20260702T012119z
cape-verde,Cape Verde,12,GK,Márcio Rosa,,29,11,0,Montana,wikipedia_2026_squads,wc26-20260702T012119z
cape-verde,Cape Verde,13,DF,Sidny Lopes Cabral,,23,11,3,Benfica,wikipedia_2026_squads,wc26-20260702T012119z
