match_id,team1,team2,home_win,draw,away_win,expected_goals_home,expected_goals_away,data_version
wc26-056,Austria,Jordan,0.4723,0.2301,0.2976,1.794,1.384,wc26-20260628T125107z
wc26-057,Argentina,Austria,0.5655,0.224,0.2104,1.878,1.057,wc26-20260628T125107z
wc26-058,Jordan,Algeria,0.3306,0.2341,0.4353,1.458,1.702,wc26-20260628T125107z
wc26-059,Algeria,Austria,0.3483,0.2311,0.4206,1.543,1.714,wc26-20260628T125107z
wc26-060,Jordan,Argentina,0.1538,0.2017,0.6446,0.899,2.07,wc26-20260628T125107z
wc26-061,Portugal,DR Congo,0.4608,0.2664,0.2727,1.425,1.03,wc26-20260628T125107z
wc26-062,Uzbekistan,Colombia,0.1782,0.2215,0.6003,0.911,1.875,wc26-20260628T125107z
wc26-063,Portugal,Uzbekistan,0.6421,0.2028,0.1551,2.059,0.899,wc26-20260628T125107z
wc26-064,Colombia,DR Congo,0.4231,0.2779,0.299,1.297,1.043,wc26-20260628T125107z
wc26-065,Colombia,Portugal,0.3265,0.2876,0.3859,1.06,1.179,wc26-20260628T125107z
wc26-066,DR Congo,Uzbekistan,0.5426,0.2294,0.2279,1.822,1.1,wc26-20260628T125107z
wc26-067,England,Croatia,0.4632,0.2486,0.2882,1.583,1.196,wc26-20260628T125107z
wc26-068,Ghana,Panama,0.4413,0.2936,0.265,1.222,0.877,wc26-20260628T125107z
wc26-069,England,Ghana,0.4581,0.2738,0.2681,1.367,0.977,wc26-20260628T125107z
wc26-070,Panama,Croatia,0.2567,0.2599,0.4833,1.015,1.496,wc26-20260628T125107z
wc26-071,Panama,England,0.1916,0.2514,0.557,0.813,1.587,wc26-20260628T125107z
wc26-072,Croatia,Ghana,0.382,0.2694,0.3486,1.289,1.218,wc26-20260628T125107z
wc26-073,South Africa,Canada,0.294,0.2584,0.4477,1.146,1.476,wc26-20260628T125107z
wc26-074,Germany,Paraguay,0.5371,0.2309,0.232,1.806,1.108,wc26-20260628T125107z
wc26-075,Netherlands,Morocco,0.458,0.2366,0.3054,1.702,1.351,wc26-20260628T125107z
wc26-076,Brazil,Japan,0.4811,0.2533,0.2656,1.553,1.086,wc26-20260628T125107z
wc26-077,France,Sweden,0.5682,0.2105,0.2213,2.068,1.224,wc26-20260628T125107z
wc26-078,Ivory Coast,Norway,0.4107,0.2449,0.3444,1.546,1.397,wc26-20260628T125107z
wc26-079,Mexico,Ecuador,0.4711,0.285,0.2439,1.303,0.852,wc26-20260628T125107z
wc26-080,England,DR Congo,0.4494,0.2621,0.2885,1.447,1.105,wc26-20260628T125107z
wc26-081,USA,Bosnia & Herzegovina,0.4614,0.2319,0.3067,1.761,1.399,wc26-20260628T125107z
wc26-082,Belgium,Senegal,0.4539,0.239,0.3072,1.672,1.336,wc26-20260628T125107z
wc26-083,Portugal,Croatia,0.4754,0.2523,0.2722,1.558,1.115,wc26-20260628T125107z
wc26-084,Spain,Austria,0.5257,0.2464,0.2279,1.637,0.987,wc26-20260628T125107z
wc26-085,Switzerland,Algeria,0.4929,0.2309,0.2762,1.798,1.294,wc26-20260628T125107z
wc26-086,Argentina,Cape Verde,0.5192,0.2628,0.218,1.489,0.863,wc26-20260628T125107z
wc26-087,Colombia,Ghana,0.4311,0.291,0.2778,1.225,0.922,wc26-20260628T125107z
wc26-088,Australia,Egypt,0.3316,0.2785,0.3899,1.122,1.242,wc26-20260628T125107z
