historical_match_id,year,round,date,team1,team2,score,winner,ground,data_version
hist-1934-0019,1934,Preliminary round,1934-05-27,Sweden,Argentina,3-2,Sweden,"Stadio Littoriale, Bologna",wc26-20260621T130433z
hist-1934-0020,1934,Preliminary round,1934-05-27,Austria,France,3-2,Austria,"Stadio Benito Mussolini, Turin",wc26-20260621T130433z
hist-1934-0021,1934,Preliminary round,1934-05-27,Germany,Belgium,5-2,Germany,"Stadio Giovanni Berta, Florence",wc26-20260621T130433z
hist-1934-0022,1934,Preliminary round,1934-05-27,Spain,Brazil,3-1,Spain,"Stadio Luigi Ferraris, Genoa",wc26-20260621T130433z
hist-1934-0023,1934,Preliminary round,1934-05-27,Hungary,Egypt,4-2,Hungary,"Stadio Giorgio Ascarelli, Naples",wc26-20260621T130433z
hist-1934-0024,1934,Preliminary round,1934-05-27,Switzerland,Netherlands,3-2,Switzerland,"Stadio San Siro, Milan",wc26-20260621T130433z
hist-1934-0025,1934,Preliminary round,1934-05-27,Italy,USA,7-1,Italy,"Stadio Nazionale PNF, Rome",wc26-20260621T130433z
hist-1934-0026,1934,Preliminary round,1934-05-27,Czech Republic,Romania,2-1,Czech Republic,"Stadio Littorio, Trieste",wc26-20260621T130433z
hist-1934-0027,1934,Quarter-finals,1934-05-31,Czech Republic,Switzerland,3-2,Czech Republic,"Stadio Benito Mussolini, Turin",wc26-20260621T130433z
hist-1934-0028,1934,Quarter-finals,1934-05-31,Germany,Sweden,2-1,Germany,"Stadio San Siro, Milan",wc26-20260621T130433z
hist-1934-0029,1934,Quarter-finals,1934-05-31,Italy,Spain,1-1,draw,"Stadio Giovanni Berta, Florence",wc26-20260621T130433z
hist-1934-0030,1934,Quarter-finals,1934-05-31,Austria,Hungary,2-1,Austria,"Stadio Littoriale, Bologna",wc26-20260621T130433z
hist-1934-0031,1934,"Quarter-finals, Replays",1934-06-01,Italy,Spain,1-0,Italy,"Stadio Giovanni Berta, Florence",wc26-20260621T130433z
hist-1934-0032,1934,Semi-finals,1934-06-03,Italy,Austria,1-0,Italy,"Stadio San Siro, Milan",wc26-20260621T130433z
hist-1934-0033,1934,Semi-finals,1934-06-03,Czech Republic,Germany,3-1,Czech Republic,"Stadio Nazionale PNF, Rome",wc26-20260621T130433z
hist-1934-0034,1934,Third-place match,1934-06-07,Germany,Austria,3-2,Germany,"Stadio Giorgio Ascarelli, Naples",wc26-20260621T130433z
hist-1934-0035,1934,Final,1934-06-10,Italy,Czech Republic,2-1,Italy,"Stadio Nazionale PNF, Rome",wc26-20260621T130433z
hist-1938-0036,1938,First round,1938-06-04,Switzerland,Germany,1-1,draw,"Parc des Princes, Paris",wc26-20260621T130433z
hist-1938-0037,1938,First round,1938-06-05,Hungary,Dutch East Indies,6-0,Hungary,"Vélodrome Municipal, Reims",wc26-20260621T130433z
hist-1938-0038,1938,First round,1938-06-05,France,Belgium,3-1,France,"Stade Olympique de Colombes, Paris",wc26-20260621T130433z
hist-1938-0039,1938,First round,1938-06-05,Cuba,Romania,3-3,draw,"Stade Chapou, Toulouse",wc26-20260621T130433z
hist-1938-0040,1938,First round,1938-06-05,Italy,Norway,2-1,Italy,"Stade Vélodrome, Marseille",wc26-20260621T130433z
hist-1938-0041,1938,First round,1938-06-05,Brazil,Poland,6-5,Brazil,"Stade de la Meinau, Strasbourg",wc26-20260621T130433z
hist-1938-0042,1938,First round,1938-06-05,Czech Republic,Netherlands,3-0,Czech Republic,"Stade municipal, Le Havre",wc26-20260621T130433z
hist-1938-0043,1938,"First round, Replays",1938-06-09,Cuba,Romania,2-1,Cuba,"Stade Chapou, Toulouse",wc26-20260621T130433z
hist-1938-0044,1938,"First round, Replays",1938-06-09,Germany,Switzerland,2-4,Switzerland,"Parc des Princes, Paris",wc26-20260621T130433z
hist-1938-0045,1938,Quarter-finals,1938-06-12,Brazil,Czech Republic,1-1,draw,"Parc Lescure, Bordeaux",wc26-20260621T130433z
hist-1938-0046,1938,Quarter-finals,1938-06-12,Switzerland,Hungary,0-2,Hungary,"Stade Victor Boucquey, Lille",wc26-20260621T130433z
hist-1938-0047,1938,Quarter-finals,1938-06-12,Sweden,Cuba,8-0,Sweden,"Stade du Fort Carré, Antibes",wc26-20260621T130433z
hist-1938-0048,1938,Quarter-finals,1938-06-12,France,Italy,1-3,Italy,"Stade Olympique de Colombes, Paris",wc26-20260621T130433z
hist-1938-0049,1938,"Quarter-finals, Replays",1938-06-14,Brazil,Czech Republic,2-1,Brazil,"Parc Lescure, Bordeaux",wc26-20260621T130433z
hist-1938-0050,1938,Semi-finals,1938-06-16,Hungary,Sweden,5-1,Hungary,"Parc des Princes, Paris",wc26-20260621T130433z
hist-1938-0051,1938,Semi-finals,1938-06-16,Italy,Brazil,2-1,Italy,"Stade Vélodrome, Marseille",wc26-20260621T130433z
hist-1938-0052,1938,Match for third place,1938-06-19,Sweden,Brazil,2-4,Brazil,"Parc Lescure, Bordeaux",wc26-20260621T130433z
hist-1938-0053,1938,Final,1938-06-19,Hungary,Italy,2-4,Italy,"Stade Olympique de Colombes, Paris",wc26-20260621T130433z
hist-1950-0054,1950,First round,1950-06-24,Brazil,Mexico,4-0,Brazil,"Estádio do Maracanã, Rio de Janeiro",wc26-20260621T130433z
hist-1950-0055,1950,First round,1950-06-25,Yugoslavia,Switzerland,3-0,Yugoslavia,"Estádio Independência, Belo Horizonte",wc26-20260621T130433z
hist-1950-0056,1950,First round,1950-06-28,Brazil,Switzerland,2-2,draw,"Estádio do Pacaembu, São Paulo",wc26-20260621T130433z
hist-1950-0057,1950,First round,1950-06-28,Yugoslavia,Mexico,4-1,Yugoslavia,"Estádio dos Eucaliptos, Porto Alegre",wc26-20260621T130433z
hist-1950-0058,1950,First round,1950-07-01,Brazil,Yugoslavia,2-0,Brazil,"Estádio do Maracanã, Rio de Janeiro",wc26-20260621T130433z
hist-1950-0059,1950,First round,1950-07-02,Switzerland,Mexico,2-1,Switzerland,"Estádio dos Eucaliptos, Porto Alegre",wc26-20260621T130433z
hist-1950-0060,1950,First round,1950-06-25,England,Chile,2-0,England,"Estádio do Maracanã, Rio de Janeiro",wc26-20260621T130433z
hist-1950-0061,1950,First round,1950-06-25,Spain,USA,3-1,Spain,"Estádio Durival de Britto, Curitiba",wc26-20260621T130433z
hist-1950-0062,1950,First round,1950-06-29,Spain,Chile,2-0,Spain,"Estádio do Maracanã, Rio de Janeiro",wc26-20260621T130433z
hist-1950-0063,1950,First round,1950-06-29,USA,England,1-0,USA,"Estádio Independência, Belo Horizonte",wc26-20260621T130433z
hist-1950-0064,1950,First round,1950-07-02,Spain,England,1-0,Spain,"Estádio do Maracanã, Rio de Janeiro",wc26-20260621T130433z
hist-1950-0065,1950,First round,1950-07-02,Chile,USA,5-2,Chile,"Estádio Ilha do Retiro, Recife",wc26-20260621T130433z
hist-1950-0066,1950,First round,1950-06-25,Sweden,Italy,3-2,Sweden,"Estádio do Pacaembu, São Paulo",wc26-20260621T130433z
hist-1950-0067,1950,First round,1950-06-29,Sweden,Paraguay,2-2,draw,"Estádio Durival Britto, Curitiba",wc26-20260621T130433z
hist-1950-0068,1950,First round,1950-07-02,Italy,Paraguay,2-0,Italy,"Estádio do Pacaembu, São Paulo",wc26-20260621T130433z
hist-1950-0069,1950,First round,1950-07-02,Uruguay,Bolivia,8-0,Uruguay,"Estádio Independência, Belo Horizonte",wc26-20260621T130433z
hist-1950-0070,1950,Final Round,1950-07-09,Uruguay,Spain,2-2,draw,"Estádio do Pacaembu, São Paulo",wc26-20260621T130433z
hist-1950-0071,1950,Final Round,1950-07-09,Brazil,Sweden,7-1,Brazil,"Estádio do Maracanã, Rio de Janeiro",wc26-20260621T130433z
hist-1950-0072,1950,Final Round,1950-07-13,Brazil,Spain,6-1,Brazil,"Estádio do Maracanã, Rio de Janeiro",wc26-20260621T130433z
hist-1950-0073,1950,Final Round,1950-07-13,Uruguay,Sweden,3-2,Uruguay,"Estádio do Pacaembu, São Paulo",wc26-20260621T130433z
hist-1950-0074,1950,Final Round,1950-07-16,Sweden,Spain,3-1,Sweden,"Estádio do Pacaembu, São Paulo",wc26-20260621T130433z
hist-1950-0075,1950,Final Round,1950-07-16,Uruguay,Brazil,2-1,Uruguay,"Estádio do Maracanã, Rio de Janeiro",wc26-20260621T130433z
hist-1954-0076,1954,Matchday 1,1954-06-16,Brazil,Mexico,5-0,Brazil,"Charmilles Stadium, Geneva",wc26-20260621T130433z
hist-1954-0077,1954,Matchday 1,1954-06-16,Yugoslavia,France,1-0,Yugoslavia,"Stade Olympique de la Pontaise, Lausanne",wc26-20260621T130433z
hist-1954-0078,1954,Matchday 2,1954-06-19,Brazil,Yugoslavia,1-1,draw,"Stade Olympique de la Pontaise, Lausanne",wc26-20260621T130433z
hist-1954-0079,1954,Matchday 2,1954-06-19,France,Mexico,3-2,France,"Charmilles Stadium, Geneva",wc26-20260621T130433z
hist-1954-0080,1954,Matchday 1,1954-06-17,Germany,Turkey,4-1,Germany,"Wankdorf Stadium, Bern",wc26-20260621T130433z
hist-1954-0081,1954,Matchday 1,1954-06-17,Hungary,South Korea,9-0,Hungary,"Hardturm Stadium, Zürich",wc26-20260621T130433z
hist-1954-0082,1954,Matchday 2,1954-06-20,Hungary,Germany,8-3,Hungary,"St. Jakob Stadium, Basel",wc26-20260621T130433z
hist-1954-0083,1954,Matchday 2,1954-06-20,Turkey,South Korea,7-0,Turkey,"Charmilles Stadium, Geneva",wc26-20260621T130433z
hist-1954-0084,1954,Group 2 Play-off,1954-06-23,Germany,Turkey,7-2,Germany,"Hardturm Stadium, Zürich",wc26-20260621T130433z
hist-1954-0085,1954,Matchday 1,1954-06-16,Uruguay,Czech Republic,2-0,Uruguay,"Wankdorf Stadium, Bern",wc26-20260621T130433z
hist-1954-0086,1954,Matchday 1,1954-06-16,Austria,Scotland,1-0,Austria,"Hardturm Stadium, Zürich",wc26-20260621T130433z
hist-1954-0087,1954,Matchday 2,1954-06-19,Austria,Czech Republic,5-0,Austria,"Hardturm Stadium, Zürich",wc26-20260621T130433z
hist-1954-0088,1954,Matchday 2,1954-06-19,Uruguay,Scotland,7-0,Uruguay,"St. Jakob Stadium, Basel",wc26-20260621T130433z
hist-1954-0089,1954,Matchday 1,1954-06-17,England,Belgium,4-4,draw,"St. Jakob Stadium, Basel",wc26-20260621T130433z
hist-1954-0090,1954,Matchday 1,1954-06-17,Switzerland,Italy,2-1,Switzerland,"Stade Olympique de la Pontaise, Lausanne",wc26-20260621T130433z
hist-1954-0091,1954,Matchday 2,1954-06-20,England,Switzerland,2-0,England,"Wankdorf Stadium, Bern",wc26-20260621T130433z
hist-1954-0092,1954,Matchday 2,1954-06-20,Italy,Belgium,4-1,Italy,"Cornaredo Stadium, Lugano",wc26-20260621T130433z
hist-1954-0093,1954,Group 4 Play-off,1954-06-23,Switzerland,Italy,4-1,Switzerland,"St. Jakob Stadium, Basel",wc26-20260621T130433z
hist-1954-0094,1954,Quarter-finals,1954-06-26,Austria,Switzerland,7-5,Austria,"Stade Olympique de la Pontaise, Lausanne",wc26-20260621T130433z
hist-1954-0095,1954,Quarter-finals,1954-06-26,Uruguay,England,4-2,Uruguay,"St. Jakob Stadium, Basel",wc26-20260621T130433z
hist-1954-0096,1954,Quarter-finals,1954-06-27,Yugoslavia,Germany,0-2,Germany,"Charmilles Stadium, Geneva",wc26-20260621T130433z
hist-1954-0097,1954,Quarter-finals,1954-06-27,Brazil,Hungary,2-4,Hungary,"Wankdorf Stadium, Bern",wc26-20260621T130433z
hist-1954-0098,1954,Semi-finals,1954-06-30,Germany,Austria,6-1,Germany,"St. Jakob Stadium, Basel",wc26-20260621T130433z
hist-1954-0099,1954,Semi-finals,1954-06-30,Hungary,Uruguay,4-2,Hungary,"Stade Olympique de la Pontaise, Lausanne",wc26-20260621T130433z
hist-1954-0100,1954,Third-place match,1954-07-03,Uruguay,Austria,1-3,Austria,"Hardturm Stadium, Zürich",wc26-20260621T130433z
hist-1954-0101,1954,Final,1954-07-04,Hungary,Germany,2-3,Germany,"Wankdorf Stadium, Bern",wc26-20260621T130433z
hist-1958-0102,1958,Matchday 1,1958-06-08,Germany,Argentina,3-1,Germany,"Malmö Stadion, Malmö",wc26-20260621T130433z
hist-1958-0103,1958,Matchday 1,1958-06-08,Northern Ireland,Czech Republic,1-0,Northern Ireland,"Örjans Vall, Halmstad",wc26-20260621T130433z
hist-1958-0104,1958,Matchday 2,1958-06-11,Argentina,Northern Ireland,3-1,Argentina,"Örjans Vall, Halmstad",wc26-20260621T130433z
hist-1958-0105,1958,Matchday 2,1958-06-11,Germany,Czech Republic,2-2,draw,"Olympiastadion, Helsingborg",wc26-20260621T130433z
hist-1958-0106,1958,Matchday 3,1958-06-15,Germany,Northern Ireland,2-2,draw,"Malmö Stadion, Malmö",wc26-20260621T130433z
hist-1958-0107,1958,Matchday 3,1958-06-15,Czech Republic,Argentina,6-1,Czech Republic,"Olympiastadion, Helsingborg",wc26-20260621T130433z
hist-1958-0108,1958,Group 1 Play-off,1958-06-17,Northern Ireland,Czech Republic,2-1,Northern Ireland,"Malmö Stadion, Malmö",wc26-20260621T130433z
hist-1958-0109,1958,Matchday 1,1958-06-08,France,Paraguay,7-3,France,"Idrottsparken, Norrköping",wc26-20260621T130433z
hist-1958-0110,1958,Matchday 1,1958-06-08,Yugoslavia,Scotland,1-1,draw,"Arosvallen, Västerås",wc26-20260621T130433z
hist-1958-0111,1958,Matchday 2,1958-06-11,Yugoslavia,France,3-2,Yugoslavia,"Arosvallen, Västerås",wc26-20260621T130433z
hist-1958-0112,1958,Matchday 2,1958-06-11,Paraguay,Scotland,3-2,Paraguay,"Idrottsparken, Norrköping",wc26-20260621T130433z
hist-1958-0113,1958,Matchday 3,1958-06-15,France,Scotland,2-1,France,"Eyravallen, Örebro",wc26-20260621T130433z
hist-1958-0114,1958,Matchday 3,1958-06-15,Paraguay,Yugoslavia,3-3,draw,"Tunavallen, Eskilstuna",wc26-20260621T130433z
hist-1958-0115,1958,Matchday 1,1958-06-08,Sweden,Mexico,3-0,Sweden,"Råsunda Stadium, Solna",wc26-20260621T130433z
hist-1958-0116,1958,Matchday 1,1958-06-08,Hungary,Wales,1-1,draw,"Jernvallen, Sandviken",wc26-20260621T130433z
hist-1958-0117,1958,Matchday 2,1958-06-11,Mexico,Wales,1-1,draw,"Råsunda Stadium, Solna",wc26-20260621T130433z
hist-1958-0118,1958,Matchday 2,1958-06-12,Sweden,Hungary,2-1,Sweden,"Råsunda Stadium, Solna",wc26-20260621T130433z
hist-1958-0119,1958,Matchday 3,1958-06-15,Sweden,Wales,0-0,draw,"Råsunda Stadium, Solna",wc26-20260621T130433z
hist-1958-0120,1958,Matchday 3,1958-06-15,Hungary,Mexico,4-0,Hungary,"Jernvallen, Sandviken",wc26-20260621T130433z
hist-1958-0121,1958,Group 3 Play-off,1958-06-17,Wales,Hungary,2-1,Wales,"Råsunda Stadium, Solna",wc26-20260621T130433z
hist-1958-0122,1958,Matchday 1,1958-06-08,Brazil,Austria,3-0,Brazil,"Rimnersvallen, Uddevalla",wc26-20260621T130433z
hist-1958-0123,1958,Matchday 1,1958-06-08,Soviet Union,England,2-2,draw,"Ullevi, Gothenburg",wc26-20260621T130433z
hist-1958-0124,1958,Matchday 2,1958-06-11,Brazil,England,0-0,draw,"Ullevi, Gothenburg",wc26-20260621T130433z
hist-1958-0125,1958,Matchday 2,1958-06-11,Soviet Union,Austria,2-0,Soviet Union,"Ryavallen, Borås",wc26-20260621T130433z
hist-1958-0126,1958,Matchday 3,1958-06-15,England,Austria,2-2,draw,"Ryavallen, Borås",wc26-20260621T130433z
hist-1958-0127,1958,Matchday 3,1958-06-15,Brazil,Soviet Union,2-0,Brazil,"Ullevi, Gothenburg",wc26-20260621T130433z
hist-1958-0128,1958,Group 4 Play-off,1958-06-17,Soviet Union,England,1-0,Soviet Union,"Ullevi, Gothenburg",wc26-20260621T130433z
hist-1958-0129,1958,Quarter-finals,1958-06-19,France,Northern Ireland,4-0,France,"Idrottsparken, Norrköping",wc26-20260621T130433z
hist-1958-0130,1958,Quarter-finals,1958-06-19,Sweden,Soviet Union,2-0,Sweden,"Råsunda Stadium, Solna",wc26-20260621T130433z
hist-1958-0131,1958,Quarter-finals,1958-06-19,Brazil,Wales,1-0,Brazil,"Ullevi, Gothenburg",wc26-20260621T130433z
hist-1958-0132,1958,Quarter-finals,1958-06-19,Germany,Yugoslavia,1-0,Germany,"Malmö Stadion, Malmö",wc26-20260621T130433z
hist-1958-0133,1958,Semi-finals,1958-06-24,France,Brazil,2-5,Brazil,"Råsunda Stadium, Solna",wc26-20260621T130433z
hist-1958-0134,1958,Semi-finals,1958-06-24,Germany,Sweden,1-3,Sweden,"Ullevi, Gothenburg",wc26-20260621T130433z
hist-1958-0135,1958,Match for third place,1958-06-28,Germany,France,3-6,France,"Ullevi, Gothenburg",wc26-20260621T130433z
hist-1958-0136,1958,Final,1958-06-29,Sweden,Brazil,2-5,Brazil,"Råsunda Stadium, Solna",wc26-20260621T130433z
hist-1962-0137,1962,Matchday 1,1962-05-30,Uruguay,Colombia,2-1,Uruguay,"Estadio Carlos Dittborn, Arica",wc26-20260621T130433z
hist-1962-0138,1962,Matchday 1,1962-05-31,Soviet Union,Yugoslavia,2-0,Soviet Union,"Estadio Carlos Dittborn, Arica",wc26-20260621T130433z
hist-1962-0139,1962,Matchday 2,1962-06-02,Yugoslavia,Uruguay,3-1,Yugoslavia,"Estadio Carlos Dittborn, Arica",wc26-20260621T130433z
hist-1962-0140,1962,Matchday 2,1962-06-03,Soviet Union,Colombia,4-4,draw,"Estadio Carlos Dittborn, Arica",wc26-20260621T130433z
hist-1962-0141,1962,Matchday 3,1962-06-06,Soviet Union,Uruguay,2-1,Soviet Union,"Estadio Carlos Dittborn, Arica",wc26-20260621T130433z
hist-1962-0142,1962,Matchday 3,1962-06-07,Yugoslavia,Colombia,5-0,Yugoslavia,"Estadio Carlos Dittborn, Arica",wc26-20260621T130433z
hist-1962-0143,1962,Matchday 1,1962-05-30,Chile,Switzerland,3-1,Chile,"Estadio Nacional, Santiago",wc26-20260621T130433z
hist-1962-0144,1962,Matchday 1,1962-05-31,Germany,Italy,0-0,draw,"Estadio Nacional, Santiago",wc26-20260621T130433z
hist-1962-0145,1962,Matchday 2,1962-06-02,Chile,Italy,2-0,Chile,"Estadio Nacional, Santiago",wc26-20260621T130433z
hist-1962-0146,1962,Matchday 2,1962-06-03,Germany,Switzerland,2-1,Germany,"Estadio Nacional, Santiago",wc26-20260621T130433z
hist-1962-0147,1962,Matchday 3,1962-06-06,Germany,Chile,2-0,Germany,"Estadio Nacional, Santiago",wc26-20260621T130433z
hist-1962-0148,1962,Matchday 3,1962-06-07,Italy,Switzerland,3-0,Italy,"Estadio Nacional, Santiago",wc26-20260621T130433z
hist-1962-0149,1962,Matchday 1,1962-05-30,Brazil,Mexico,2-0,Brazil,"Estadio Sausalito, Viña del Mar",wc26-20260621T130433z
hist-1962-0150,1962,Matchday 1,1962-05-31,Czech Republic,Spain,1-0,Czech Republic,"Estadio Sausalito, Viña del Mar",wc26-20260621T130433z
hist-1962-0151,1962,Matchday 2,1962-06-02,Brazil,Czech Republic,0-0,draw,"Estadio Sausalito, Viña del Mar",wc26-20260621T130433z
hist-1962-0152,1962,Matchday 2,1962-06-03,Spain,Mexico,1-0,Spain,"Estadio Sausalito, Viña del Mar",wc26-20260621T130433z
hist-1962-0153,1962,Matchday 3,1962-06-06,Brazil,Spain,2-1,Brazil,"Estadio Sausalito, Viña del Mar",wc26-20260621T130433z
hist-1962-0154,1962,Matchday 3,1962-06-07,Mexico,Czech Republic,3-1,Mexico,"Estadio Sausalito, Viña del Mar",wc26-20260621T130433z
hist-1962-0155,1962,Matchday 1,1962-05-30,Argentina,Bulgaria,1-0,Argentina,"Estadio El Teniente, Rancagua",wc26-20260621T130433z
hist-1962-0156,1962,Matchday 1,1962-05-31,Hungary,England,2-1,Hungary,"Estadio El Teniente, Rancagua",wc26-20260621T130433z
hist-1962-0157,1962,Matchday 2,1962-06-02,England,Argentina,3-1,England,"Estadio El Teniente, Rancagua",wc26-20260621T130433z
hist-1962-0158,1962,Matchday 2,1962-06-03,Hungary,Bulgaria,6-1,Hungary,"Estadio El Teniente, Rancagua",wc26-20260621T130433z
hist-1962-0159,1962,Matchday 3,1962-06-06,Hungary,Argentina,0-0,draw,"Estadio El Teniente, Rancagua",wc26-20260621T130433z
hist-1962-0160,1962,Matchday 3,1962-06-07,England,Bulgaria,0-0,draw,"Estadio El Teniente, Rancagua",wc26-20260621T130433z
hist-1962-0161,1962,Quarter-finals,1962-06-10,Chile,Soviet Union,2-1,Chile,"Estadio Carlos Dittborn, Arica",wc26-20260621T130433z
hist-1962-0162,1962,Quarter-finals,1962-06-10,Yugoslavia,Germany,1-0,Yugoslavia,"Estadio Nacional, Santiago",wc26-20260621T130433z
hist-1962-0163,1962,Quarter-finals,1962-06-10,Brazil,England,3-1,Brazil,"Estadio Sausalito, Viña del Mar",wc26-20260621T130433z
hist-1962-0164,1962,Quarter-finals,1962-06-10,Czech Republic,Hungary,1-0,Czech Republic,"Estadio El Teniente, Rancagua",wc26-20260621T130433z
hist-1962-0165,1962,Semi-finals,1962-06-13,Brazil,Chile,4-2,Brazil,"Estadio Nacional, Santiago",wc26-20260621T130433z
hist-1962-0166,1962,Semi-finals,1962-06-13,Czech Republic,Yugoslavia,3-1,Czech Republic,"Estadio Sausalito, Viña del Mar",wc26-20260621T130433z
hist-1962-0167,1962,Third-place match,1962-06-16,Chile,Yugoslavia,1-0,Chile,"Estadio Nacional, Santiago",wc26-20260621T130433z
hist-1962-0168,1962,Final,1962-06-17,Brazil,Czech Republic,3-1,Brazil,"Estadio Nacional, Santiago",wc26-20260621T130433z
hist-1966-0169,1966,Matchday 1,1966-07-11,England,Uruguay,0-0,draw,"Wembley Stadium, London",wc26-20260621T130433z
hist-1966-0170,1966,Matchday 1,1966-07-13,France,Mexico,1-1,draw,"Wembley Stadium, London",wc26-20260621T130433z
hist-1966-0171,1966,Matchday 2,1966-07-15,Uruguay,France,2-1,Uruguay,"White City Stadium, London",wc26-20260621T130433z
hist-1966-0172,1966,Matchday 2,1966-07-16,England,Mexico,2-0,England,"Wembley Stadium, London",wc26-20260621T130433z
hist-1966-0173,1966,Matchday 3,1966-07-19,Mexico,Uruguay,0-0,draw,"Wembley Stadium, London",wc26-20260621T130433z
hist-1966-0174,1966,Matchday 3,1966-07-20,England,France,2-0,England,"Wembley Stadium, London",wc26-20260621T130433z
hist-1966-0175,1966,Matchday 1,1966-07-12,Germany,Switzerland,5-0,Germany,"Hillsborough Stadium, Sheffield",wc26-20260621T130433z
hist-1966-0176,1966,Matchday 1,1966-07-13,Argentina,Spain,2-1,Argentina,"Villa Park, Birmingham",wc26-20260621T130433z
hist-1966-0177,1966,Matchday 2,1966-07-15,Spain,Switzerland,2-1,Spain,"Hillsborough Stadium, Sheffield",wc26-20260621T130433z
hist-1966-0178,1966,Matchday 2,1966-07-16,Argentina,Germany,0-0,draw,"Villa Park, Birmingham",wc26-20260621T130433z
hist-1966-0179,1966,Matchday 3,1966-07-19,Argentina,Switzerland,2-0,Argentina,"Hillsborough Stadium, Sheffield",wc26-20260621T130433z
hist-1966-0180,1966,Matchday 3,1966-07-20,Germany,Spain,2-1,Germany,"Villa Park, Birmingham",wc26-20260621T130433z
hist-1966-0181,1966,Matchday 1,1966-07-12,Brazil,Bulgaria,2-0,Brazil,"Goodison Park, Liverpool",wc26-20260621T130433z
hist-1966-0182,1966,Matchday 1,1966-07-13,Portugal,Hungary,3-1,Portugal,"Old Trafford, Manchester",wc26-20260621T130433z
hist-1966-0183,1966,Matchday 2,1966-07-15,Hungary,Brazil,3-1,Hungary,"Goodison Park, Liverpool",wc26-20260621T130433z
hist-1966-0184,1966,Matchday 2,1966-07-16,Portugal,Bulgaria,3-0,Portugal,"Old Trafford, Manchester",wc26-20260621T130433z
hist-1966-0185,1966,Matchday 3,1966-07-19,Portugal,Brazil,3-1,Portugal,"Goodison Park, Liverpool",wc26-20260621T130433z
hist-1966-0186,1966,Matchday 3,1966-07-20,Hungary,Bulgaria,3-1,Hungary,"Old Trafford, Manchester",wc26-20260621T130433z
hist-1966-0187,1966,Matchday 1,1966-07-12,Soviet Union,North Korea,3-0,Soviet Union,"Ayresome Park, Middlesbrough",wc26-20260621T130433z
hist-1966-0188,1966,Matchday 1,1966-07-13,Italy,Chile,2-0,Italy,"Roker Park, Sunderland",wc26-20260621T130433z
hist-1966-0189,1966,Matchday 2,1966-07-15,Chile,North Korea,1-1,draw,"Ayresome Park, Middlesbrough",wc26-20260621T130433z
hist-1966-0190,1966,Matchday 2,1966-07-16,Soviet Union,Italy,1-0,Soviet Union,"Roker Park, Sunderland",wc26-20260621T130433z
hist-1966-0191,1966,Matchday 3,1966-07-19,North Korea,Italy,1-0,North Korea,"Ayresome Park, Middlesbrough",wc26-20260621T130433z
