team_id,team,group,rating,attack_posterior_mean,defense_posterior_mean,matches_observed_2026,goals_for_observed_2026,goals_against_observed_2026,players,avg_age,total_caps,total_international_goals,p_top2,p_advance_group,p_champion_rough,data_version
paraguay,Paraguay,Group D,1581.7,1.134,1.217,4,3,5,26,28.5,690,53,0.0,1.0,0.0268,wc26-20260630T073859z
turkey,Turkey,Group D,1584.8,1.3,1.387,3,3,5,26,27.23,970,97,0.0,0.0,0.0,wc26-20260630T073859z
usa,USA,Group D,1578.0,2.005,1.252,3,8,4,26,26.42,962,125,1.0,1.0,0.0265,wc26-20260630T073859z
cura-ao,Curaçao,Group E,1557.5,0.978,1.988,3,1,9,26,27.54,618,73,0.0,0.0,0.0,wc26-20260630T073859z
ecuador,Ecuador,Group E,1608.2,1.189,0.935,3,2,2,26,25.58,771,95,0.0,1.0,0.0289,wc26-20260630T073859z
germany,Germany,Group E,1770.4,2.389,1.068,4,11,5,26,27.62,844,105,1.0,1.0,0.042,wc26-20260630T073859z
ivory-coast,Ivory Coast,Group E,1595.8,1.457,0.947,3,4,2,26,25.35,703,83,1.0,1.0,0.0279,wc26-20260630T073859z
japan,Japan,Group F,1589.7,1.768,1.209,4,8,5,26,26.92,796,110,1.0,1.0,0.0274,wc26-20260630T073859z
netherlands,Netherlands,Group F,1813.2,2.458,1.039,4,11,5,26,27.31,861,153,1.0,1.0,0.0455,wc26-20260630T073859z
sweden,Sweden,Group F,1641.1,1.95,1.617,3,7,7,26,27.0,519,65,0.0,1.0,0.0316,wc26-20260630T073859z
tunisia,Tunisia,Group F,1487.2,1.035,2.496,3,2,12,26,26.15,582,43,0.0,0.0,0.0,wc26-20260630T073859z
belgium,Belgium,Group G,1671.7,1.853,0.875,3,6,2,26,27.12,1085,214,1.0,1.0,0.034,wc26-20260630T073859z
egypt,Egypt,Group G,1545.5,1.534,1.144,3,5,3,26,28.69,821,126,1.0,1.0,0.0239,wc26-20260630T073859z
iran,Iran,Group G,1527.9,1.227,1.163,3,3,3,26,29.81,1170,150,0.0,0.0,0.0,wc26-20260630T073859z
new-zealand,New Zealand,Group G,1526.4,1.368,2.165,3,4,10,26,27.77,825,106,0.0,0.0,0.0,wc26-20260630T073859z
cape-verde,Cape Verde,Group H,1585.2,1.157,0.958,3,2,2,26,29.23,823,75,1.0,1.0,0.0271,wc26-20260630T073859z
saudi-arabia,Saudi Arabia,Group H,1489.4,0.895,1.494,3,1,5,26,27.96,927,96,0.0,0.0,0.0,wc26-20260630T073859z
spain,Spain,Group H,1702.6,1.759,0.561,3,5,0,26,26.19,743,117,1.0,1.0,0.0365,wc26-20260630T073859z
uruguay,Uruguay,Group H,1607.7,1.331,1.221,3,3,4,26,28.19,933,74,0.0,0.0,0.0,wc26-20260630T073859z
france,France,Group I,1801.0,2.643,0.768,3,10,2,26,26.58,803,100,1.0,1.0,0.0445,wc26-20260630T073859z
iraq,Iraq,Group I,1504.2,0.912,2.476,3,1,12,26,26.42,827,89,0.0,0.0,0.0,wc26-20260630T073859z
norway,Norway,Group I,1618.1,2.06,1.639,3,8,7,26,26.35,801,121,1.0,1.0,0.0297,wc26-20260630T073859z
senegal,Senegal,Group I,1606.4,2.044,1.508,3,8,6,26,26.62,985,131,0.0,1.0,0.0288,wc26-20260630T073859z
algeria,Algeria,Group J,1568.7,1.564,1.69,3,5,7,26,26.46,778,122,0.0,1.0,0.0257,wc26-20260630T073859z
argentina,Argentina,Group J,1777.9,2.315,0.643,3,8,1,26,28.69,1251,223,1.0,1.0,0.0426,wc26-20260630T073859z
austria,Austria,Group J,1592.1,1.738,1.523,3,6,6,26,28.19,1003,149,1.0,1.0,0.0276,wc26-20260630T073859z
jordan,Jordan,Group J,1551.8,1.257,1.851,3,3,8,26,28.08,1063,92,0.0,0.0,0.0,wc26-20260630T073859z
colombia,Colombia,Group K,1650.0,1.534,0.752,3,4,1,26,29.58,1042,108,1.0,1.0,0.0323,wc26-20260630T073859z
dr-congo,DR Congo,Group K,1589.7,1.449,1.097,3,4,3,26,28.5,796,82,0.0,1.0,0.0274,wc26-20260630T073859z
portugal,Portugal,Group K,1670.3,1.851,0.733,3,6,1,26,27.54,1160,259,1.0,1.0,0.0339,wc26-20260630T073859z
uzbekistan,Uzbekistan,Group K,1543.4,1.103,2.289,3,2,11,26,27.69,834,116,0.0,0.0,0.0,wc26-20260630T073859z
croatia,Croatia,Group L,1663.5,1.698,1.311,3,5,5,26,27.88,1160,153,1.0,1.0,0.0334,wc26-20260630T073859z
england,England,Group L,1708.2,1.91,0.842,3,6,2,26,26.73,837,149,1.0,1.0,0.037,wc26-20260630T073859z
ghana,Ghana,Group L,1566.0,1.132,0.979,3,2,2,26,26.42,561,67,0.0,1.0,0.0255,wc26-20260630T073859z
panama,Panama,Group L,1517.0,0.785,1.319,3,0,4,26,30.0,1541,126,0.0,0.0,0.0,wc26-20260630T073859z
